n, time
89800,5.145922
89900,5.162153
90000,5.168645
90100,5.181382
90200,5.191422
90300,5.206557
90400,5.214631
90500,5.230404
90600,5.237814
90700,5.260543
90800,5.274576
90900,5.285238
91000,5.303983
91100,5.302219
91200,5.307361
91300,5.318721
91400,5.331203
91500,5.347671
91600,5.356003
91700,5.376776
91800,5.396752
91900,5.389196
92000,5.408437
92100,5.427889
92200,5.43926
92300,5.435605
92400,5.453455
92500,5.458958
92600,5.475113
92700,5.487959
92800,5.509368
92900,5.519234
93000,5.534865
93100,5.541635
93200,5.548653
93300,5.554578
93400,5.567149
93500,5.579468
93600,5.592107
93700,5.605065
93800,5.615221
93900,5.625652
94000,5.64242
94100,5.650012
94200,5.661922
94300,5.677569
94400,5.692996
94500,5.714852
94600,5.723507
94700,5.724432
94800,5.735867
94900,5.754038
95000,5.760231
95100,5.772161
95200,5.781735
95300,5.796363
95400,5.809537
95500,5.830386
95600,5.831069
95700,5.846913
95800,5.859289
95900,5.869665
96000,5.88008
96100,5.891789
96200,5.895634
96300,5.923402
96400,5.943344
96500,5.936282
96600,5.948963
96700,5.960269
96800,5.987265
96900,6.000255
97000,5.969591
97100,6.012444
97200,5.968596
97300,5.974448
97400,5.979507
97500,5.982313
97600,6.062007
97700,5.986096
97800,6.001938
97900,6.09294
98000,5.996848
98100,6.019928
98200,6.000292
98300,6.008114
98400,6.141577
98500,6.150037
98600,6.151066
98700,6.163866
98800,6.159305
98900,6.017435
99000,6.01946
99100,6.202466
99200,6.27156
99300,6.112353
99400,6.229803
99500,6.066
99600,6.24824
99700,6.275928
99800,6.287055
99900,6.29811
100000,6.296879
